prompt,x,y,path,id,concept1,concept2
query,0.30636805,0.21102273,0_2023_8_15_17_1_12.png,0,0.13338709,0.13303211
query,0.4324321,0.8792234,1_2023_8_15_17_1_12.png,0,0.16636036,0.13290317
query,0.38964894,0.41966566,2_2023_8_15_17_1_12.png,0,0.1762213,0.13314271
query,0.48827156,0.0,3_2023_8_15_17_1_12.png,0,0.13689956,0.112784415
query,0.36974066,0.50854075,4_2023_8_15_17_1_12.png,0,0.15572712,0.11873163
query,0.603128,0.27074736,5_2023_8_15_17_1_12.png,0,0.16698927,0.12914059
query,0.40676323,0.48584056,6_2023_8_15_17_1_12.png,0,0.16555443,0.120889336
query,0.5086737,0.52305573,7_2023_8_15_17_1_12.png,0,0.17602453,0.13171935
query,0.758466,0.33790475,8_2023_8_15_17_1_12.png,0,0.1693928,0.12836471
query,0.15235615,0.3727851,9_2023_8_15_17_1_12.png,0,0.15003976,0.12782685
query,0.5306251,0.36617935,10_2023_8_15_17_1_12.png,0,0.15999782,0.11783311
query,0.2926904,0.4068302,11_2023_8_15_17_1_12.png,0,0.15674347,0.1166842
query,0.8162742,0.37146518,12_2023_8_15_17_1_12.png,0,0.18598934,0.1216079
query,0.33036813,0.6248244,13_2023_8_15_17_1_12.png,0,0.16298795,0.13009167
query,0.9468221,0.13414216,14_2023_8_15_17_1_12.png,0,0.15553063,0.13144149
query,0.55163807,0.06377999,15_2023_8_15_17_1_12.png,0,0.14213721,0.13623962
query,0.44248858,0.55439055,16_2023_8_15_17_1_12.png,0,0.1642417,0.11997627
query,0.27693084,0.8300078,17_2023_8_15_17_1_12.png,0,0.15188995,0.13822427
query,0.61986494,0.45470393,18_2023_8_15_17_1_12.png,0,0.16223225,0.099766456
query,0.9209141,0.31657296,19_2023_8_15_17_1_12.png,0,0.18268524,0.16161183
query,0.6061635,0.36993432,20_2023_8_15_17_1_12.png,0,0.15571488,0.09226562
query,0.7396115,0.46140277,21_2023_8_15_17_1_12.png,0,0.15911779,0.14532928
query,0.59353536,0.046014857,22_2023_8_15_17_1_12.png,0,0.15626681,0.14514437
query,0.8307231,0.07954306,23_2023_8_15_17_1_12.png,0,0.15805054,0.11940262
query,0.0786086,0.7547503,24_2023_8_15_17_1_12.png,0,0.17321336,0.14369546
query,0.82746786,0.2303108,25_2023_8_15_17_1_12.png,0,0.16255406,0.15068612
query,0.0046978593,0.7135353,26_2023_8_15_17_1_12.png,0,0.12828083,0.13021
query,0.25499418,0.6419585,27_2023_8_15_17_1_12.png,0,0.15194649,0.13385624
query,0.5553189,0.6268957,28_2023_8_15_17_1_12.png,0,0.1576013,0.088310815
query,0.2126867,0.8683322,29_2023_8_15_17_1_12.png,0,0.14922863,0.14305206
query,0.30164075,0.8973314,30_2023_8_15_17_1_12.png,0,0.15378219,0.117799416
query,0.49900994,1.0,31_2023_8_15_17_1_12.png,0,0.12805673,0.08772217
query,0.54500616,0.7903404,32_2023_8_15_17_1_12.png,0,0.15324149,0.089807145
query,0.53612685,0.92402965,33_2023_8_15_17_1_12.png,0,0.15415946,0.09936318
query,0.39930975,0.25282347,34_2023_8_15_17_1_12.png,0,0.1481559,0.13760713
query,0.49433392,0.0817826,35_2023_8_15_17_1_12.png,0,0.14700112,0.13585956
query,1.0,0.38837638,36_2023_8_15_17_1_12.png,0,0.17821358,0.1581885
query,0.52798444,0.4332699,37_2023_8_15_17_1_12.png,0,0.15668154,0.114380285
query,0.0,0.75669813,38_2023_8_15_17_1_12.png,0,0.13667333,0.14425232
query,0.5113811,0.8688055,39_2023_8_15_17_1_12.png,0,0.17033374,0.12949675
query,0.49329436,0.3036025,40_2023_8_15_17_1_12.png,0,0.14804195,0.14029121
query,0.48978332,0.74679464,41_2023_8_15_17_1_12.png,0,0.1510554,0.09632054
query,0.25643948,0.20554696,42_2023_8_15_17_1_12.png,0,0.13374251,0.14634925
query,0.32641178,0.1571651,43_2023_8_15_17_1_12.png,0,0.13324323,0.13759723
query,0.78284657,0.15261513,44_2023_8_15_17_1_12.png,0,0.14786696,0.14775892
query,0.3024907,0.5149253,45_2023_8_15_17_1_12.png,0,0.17425859,0.12177939
query,0.8675187,0.466552,46_2023_8_15_17_1_12.png,0,0.16955402,0.14676338
query,0.56786907,0.7135497,47_2023_8_15_17_1_12.png,0,0.16916153,0.10978167
query,0.3111745,0.7377424,48_2023_8_15_17_1_12.png,0,0.15376592,0.12001388
query,0.5762172,0.18466163,49_2023_8_15_17_1_12.png,0,0.15273449,0.12879947
black girl,0.86355597,0.35021442,,2,0.9999999,0.7816107
outdoor,0.9514525,0.36573413,,2,0.7816107,1.0000001
